GENEID	HN-score(HN5)
Os01g0170100	8
Os01g0170300	-14
Os01g0170500	-27
Os01g0170600	6
Os01g0170700	-9
Os01g0170800	3
Os01g0170900	6
Os01g0171000	3
Os01g0171100	1
Os01g0171200	1
Os01g0171800	3
Os01g0172000	5
Os01g0172100	-2
Os01g0172200	9
Os01g0172300	0
Os01g0172400	-5
Os01g0172600	-12
Os01g0172701	-3
Os01g0172800	1
Os01g0172900	11
Os01g0173000	-6
Os01g0173100	-6
Os01g0173600	-8
Os01g0173900	-3
Os01g0173950	-3
Os01g0174000	7
Os01g0174100	7
Os01g0174200	-3
Os01g0174300	1
Os01g0174400	7
Os01g0174500	2
Os01g0174600	-3
Os01g0174700	-1
Os01g0174900	3
Os01g0175000	-3
Os01g0175100	11
Os01g0175400	13
Os01g0175500	2
Os01g0175600	-31
Os01g0175633	1
Os01g0175700	-11
Os01g0175733	-10
Os01g0175850	-7
Os01g0176000	-36
Os01g0176050	-9
Os01g0176100	-10
Os01g0176150	-19
Os01g0176200	-9
Os01g0176300	5
Os01g0176400	-1
Os01g0176500	-14
Os01g0176700	-3
Os01g0176751	-1
Os01g0176800	1
Os01g0176900	-2
Os01g0177100	-5
Os01g0177150	0
Os01g0177200	4
Os01g0177400	-29
Os01g0177500	-6
Os01g0177900	2
Os01g0178000	0
Os01g0178100	2
Os01g0178200	10
Os01g0178300	9
Os01g0178400	-6
Os01g0178500	-1
Os01g0178600	-1
Os01g0178700	9
Os01g0178775	0
Os01g0178850	33
Os01g0178900	-1
Os01g0179000	-11
Os01g0179200	3
Os01g0179300	-2
Os01g0179400	10
Os01g0179500	12
Os01g0179600	-65
Os01g0179700	-6
Os01g0179750	-13
Os01g0179800	-11
Os01g0179901	9
Os01g0180000	0
Os01g0180050	-1
Os01g0180300	4
Os01g0180400	-1
Os01g0180500	0
Os01g0180600	8
Os01g0180700	6
Os01g0180800	46
Os01g0180850	38
Os01g0180900	1
Os01g0181000	2
Os01g0181033	-16
Os01g0181166	15
Os01g0181300	-5
Os01g0182100	3
Os01g0182200	0
Os01g0182300	-20
Os01g0182400	19
Os01g0182500	3
Os01g0182600	10
Os01g0182700	1
Os01g0182832	8
Os01g0182900	11
Os01g0183000	3
Os01g0183100	10
Os01g0183300	42
Os01g0183400	-7
Os01g0183500	7
Os01g0183600	3
Os01g0183633	5
Os01g0183800	2
Os01g0183850	-2
Os01g0183950	-3
Os01g0184000	-6
Os01g0184050	205
Os01g0184100	215
Os01g0184200	11
Os01g0184500	-3
Os01g0184700	0
Os01g0184800	-5
Os01g0184900	-1
Os01g0185000	4
Os01g0185100	2
Os01g0185200	-1
Os01g0185250	-16
Os01g0185300	-2
Os01g0185350	-8
Os01g0185400	10
Os01g0185500	-1
Os01g0185900	-13
Os01g0186000	-18
Os01g0186200	-1
Os01g0186400	2
Os01g0186600	-18
Os01g0186700	9
Os01g0186900	30
Os01g0186950	10
Os01g0187000	3
Os01g0187200	0
Os01g0187300	0
Os01g0187350	20
Os01g0187400	17
Os01g0187500	5
Os01g0187600	16
Os01g0187900	1
Os01g0188100	14
Os01g0188200	6
Os01g0188400	7
Os01g0188525	2
Os01g0188900	18
Os01g0189100	13
Os01g0189700	0
Os01g0189800	-1
Os01g0190000	-3
Os01g0190300	2
Os01g0190400	2
Os01g0190500	-11
Os01g0191000	-9
Os01g0191100	-2
Os01g0191150	4
Os01g0191200	-29
Os01g0191300	11
Os01g0191400	6
Os01g0191500	5
Os01g0191700	13
Os01g0191800	-13
Os01g0191900	-14
Os01g0192000	-12
Os01g0192101	-8
Os01g0192300	8
Os01g0192401	4
Os01g0192500	-7
Os01g0192550	3
Os01g0192600	11
Os01g0192700	7
Os01g0192900	-39
Os01g0193250	1
Os01g0193400	-2
Os01g0193500	-10
Os01g0193600	10
Os01g0193700	0
Os01g0193900	5
Os01g0194000	-2
Os01g0194200	0
Os01g0194300	7
Os01g0194600	10
Os01g0195000	-3
Os01g0195066	-10
Os01g0195100	3
Os01g0195200	-8
Os01g0195300	36
Os01g0195400	-7
Os01g0195500	1
Os01g0195700	-1
Os01g0195801	-5
Os01g0196133	2
Os01g0196300	-25
Os01g0196500	6
Os01g0196600	5
Os01g0196800	5
Os01g0197100	-24
Os01g0197150	-19
Os01g0197200	7
Os01g0197350	-35
Os01g0197400	-8
Os01g0197450	0
Os01g0197500	-8
Os01g0197700	-13
Os01g0197900	2
Os01g0198000	10
Os01g0198100	7
Os01g0198200	8
Os01g0198250	3
Os01g0198500	9
Os01g0198702	-8
Os01g0198900	-19
Os01g0199300	-13
Os01g0199400	0
Os01g0199550	-10
Os01g0199700	18
Os01g0199900	-6
Os01g0199950	-9
Os01g0200000	2
Os01g0200150	4
Os01g0200200	2
Os01g0200300	5
Os01g0200350	-1
Os01g0200400	0
Os01g0200500	9
Os01g0200600	0
Os01g0200700	12
Os01g0200950	-1
Os01g0201000	2
Os01g0201100	1
Os01g0201200	-8
Os01g0201250	6
Os01g0201275	-5
Os01g0201300	5
Os01g0201400	3
Os01g0201500	8
Os01g0201600	13
Os01g0201700	-3
Os01g0201750	1
Os01g0201800	8
Os01g0201850	0
Os01g0201900	7
Os01g0202500	11
Os01g0202601	1
Os01g0202700	5
Os01g0202800	2
Os01g0203000	4
Os01g0203300	5
Os01g0203400	1
Os01g0203800	2
Os01g0203900	-4
Os01g0204000	14
Os01g0205100	0
Os01g0205200	-9
Os01g0205300	-17
Os01g0205500	-4
Os01g0205550	-1
Os01g0205600	-10
Os01g0205700	0
Os01g0205800	1
Os01g0205900	-28
Os01g0206200	-3
Os01g0206300	0
Os01g0206600	2
Os01g0206650	10
Os01g0206700	9
Os01g0206800	2
Os01g0207001	4
Os01g0207200	-1
Os01g0207300	3
Os01g0207400	-21
Os01g0207500	3
Os01g0207600	-19
Os01g0207700	2
Os01g0207900	-2
Os01g0208000	-39
Os01g0208400	-83
Os01g0208600	4
Os01g0208700	-11
Os01g0208800	-20
Os01g0209000	8
Os01g0209150	7
Os01g0209200	17
Os01g0209300	12
Os01g0209400	0
Os01g0209500	20
Os01g0209566	3
Os01g0209700	-1
Os01g0209750	-4
Os01g0209800	14
Os01g0209901	-8
Os01g0210200	0
Os01g0210300	-23
Os01g0210400	0
Os01g0210500	-3
Os01g0210550	-4
Os01g0210600	-5
Os01g0210700	-8
Os01g0210750	1
Os01g0210800	8
Os01g0210900	-2
Os01g0211000	-2
Os01g0211200	11
Os01g0211400	-3
Os01g0211600	32
Os01g0211800	-7
Os01g0212000	-13
Os01g0212100	10
Os01g0212400	5
Os01g0212500	4
Os01g0212700	-6
Os01g0212900	-11
Os01g0213100	-12
Os01g0213300	2
Os01g0213350	0
Os01g0213400	-5
Os01g0213800	5
Os01g0214001	1
Os01g0214200	2
Os01g0214300	5
Os01g0214400	-1
Os01g0214500	12
Os01g0214600	-23
Os01g0214800	-6
Os01g0214901	-5
Os01g0215000	-1
Os01g0215100	-33
Os01g0215500	-39
Os01g0215700	2
Os01g0215725	4
Os01g0215750	-9
Os01g0216000	-70
Os01g0216150	-4
Os01g0216300	0
Os01g0216350	0
Os01g0216400	-31
Os01g0216500	-11
Os01g0216600	1
Os01g0216900	-12
Os01g0216951	-7
Os01g0217000	-18
Os01g0217050	0
Os01g0217100	-6
Os01g0217400	1
Os01g0217500	-9
Os01g0217800	1
Os01g0218032	3
Os01g0218100	-26
Os01g0218200	17
Os01g0218350	0
Os01g0218500	-4
Os01g0218700	2
Os01g0218800	7
Os01g0218900	7
Os01g0219000	6
Os01g0219100	5
Os01g0219200	2
Os01g0219300	15
Os01g0219500	2
Os01g0219600	-4
Os01g0220100	1
Os01g0220150	0
Os01g0220200	9
Os01g0220300	5
Os01g0220400	-1
Os01g0220500	14
Os01g0220700	-37
Os01g0220801	-2
Os01g0220900	2
Os01g0221000	-11
Os01g0221100	-5
Os01g0221300	-1
Os01g0221400	-5
Os01g0221500	-2
Os01g0221600	-21
Os01g0221700	-7
Os01g0221800	-16
Os01g0221900	-8
Os01g0222001	9
Os01g0222300	-4
Os01g0222500	-13
Os01g0222600	-2
Os01g0222700	13
Os01g0222800	1
Os01g0222900	-5
Os01g0223000	9
Os01g0223200	8
Os01g0223300	4
Os01g0223500	-3
Os01g0223600	-17
Os01g0223700	1
Os01g0223800	-1
Os01g0223900	-4
Os01g0224000	6
Os01g0224100	-6
Os01g0224166	-16
Os01g0224200	161
Os01g0224300	72
Os01g0224400	4
Os01g0224500	-1
Os01g0224700	-14
Os01g0225000	35
Os01g0225100	3
Os01g0225200	9
Os01g0225300	4
Os01g0225400	-1
Os01g0225500	3
Os01g0225550	4
Os01g0225600	5
Os01g0225700	3
Os01g0226200	-34
Os01g0226250	-8
Os01g0226300	-9
Os01g0226400	30
Os01g0226450	7
Os01g0226500	7
Os01g0226600	6
Os01g0226666	-6
Os01g0226700	1
Os01g0227100	17
Os01g0227200	-4
Os01g0227250	-3
Os01g0227300	-3
Os01g0227350	-6
Os01g0227400	4
Os01g0227500	-3
Os01g0227700	-9
Os01g0227800	3
Os01g0228300	4
Os01g0228400	-4
Os01g0228450	-15
Os01g0228500	28
Os01g0228600	1
Os01g0228800	2
Os01g0228901	7
Os01g0229000	-4
Os01g0229100	7
Os01g0229200	8
Os01g0229250	11
Os01g0229300	16
Os01g0229400	-6
Os01g0229500	3
Os01g0229600	19
Os01g0229700	4
Os01g0229800	0
Os01g0229900	-1
Os01g0230200	0
Os01g0230700	0
Os01g0230800	-7
Os01g0231000	-11
Os01g0231500	1
Os01g0231600	12
Os01g0231700	17
Os01g0231800	3
Os01g0231900	11
Os01g0231950	-29
Os01g0232000	-50
Os01g0232100	-38
Os01g0232200	-5
Os01g0232300	11
Os01g0232400	7
Os01g0232450	3
Os01g0232500	-3
Os01g0232550	3
Os01g0232700	8
Os01g0232800	9
Os01g0233000	2
Os01g0233100	1
Os01g0233400	0
Os01g0233500	0
Os01g0233800	4
Os01g0233850	-6
Os01g0233900	9
Os01g0234001	12
Os01g0234100	3
Os01g0234200	1
Os01g0234300	-22
Os01g0234433	-5
Os01g0234499	-20
Os01g0234700	-13
Os01g0234800	11
Os01g0234850	8
Os01g0234900	3
Os01g0235100	2
Os01g0235200	-4
Os01g0235300	2
Os01g0235325	5
Os01g0235350	23
Os01g0235400	5
Os01g0235500	6
Os01g0235632	-8
Os01g0235700	-8
Os01g0235800	5
Os01g0235850	-25
Os01g0235900	-4
Os01g0236000	2
Os01g0236300	9
Os01g0236400	-9
Os01g0236700	7
Os01g0236800	0
Os01g0236900	-6
Os01g0237000	-10
Os01g0237100	17
Os01g0237200	-36
Os01g0237366	-1
Os01g0237400	-5
Os01g0237500	-20
Os01g0237750	-11
Os01g0238200	-6
Os01g0238287	2
Os01g0238375	12
Os01g0238500	-7
Os01g0238600	2
Os01g0238700	8
Os01g0238800	1
Os01g0238850	-5
Os01g0238900	10
Os01g0239000	-2
Os01g0239100	17
Os01g0239150	22
Os01g0239200	-4
Os01g0239300	-5
Os01g0239700	-7
Os01g0240600	4
Os01g0240700	-1
Os01g0240725	-2
Os01g0241000	17
Os01g0241100	4
Os01g0241400	1
Os01g0242200	-13
Os01g0242300	-7
Os01g0242333	1
Os01g0242400	5
Os01g0242450	9
Os01g0242500	-2
Os01g0242600	4
Os01g0242800	14
Os01g0242900	1
Os01g0243000	2
Os01g0243100	35
Os01g0243200	15
Os01g0243300	9
Os01g0243400	-4
Os01g0243450	-5
Os01g0243600	1
Os01g0243700	-18
Os01g0243800	2
Os01g0243901	2
Os01g0244000	0
Os01g0244150	0
Os01g0244400	-1
Os01g0244966	2
Os01g0245000	0
Os01g0245532	0
Os01g0245600	-2
Os01g0245700	2
Os01g0245901	3
Os01g0246100	8
Os01g0246200	18
Os01g0246400	-18
Os01g0246500	7
Os01g0246601	1
Os01g0246700	-6
Os01g0247500	3
Os01g0247550	-8
Os01g0247600	12
Os01g0247700	-15
Os01g0247900	-13
Os01g0248000	-1
Os01g0248300	-62
Os01g0248350	0
Os01g0248400	-4
Os01g0248450	-2
Os01g0248500	-15
Os01g0248600	4
Os01g0248701	-43
Os01g0248800	-16
Os01g0248850	-10
Os01g0248900	-4
Os01g0249050	-16
Os01g0249100	-28
Os01g0249200	-14
Os01g0249300	0
Os01g0249700	-10
Os01g0249800	6
Os01g0249900	3
Os01g0250200	21
Os01g0250600	-1
Os01g0250900	8
Os01g0251000	7
Os01g0251100	3
Os01g0251200	16
Os01g0251400	-24
Os01g0252100	-7
Os01g0252150	-1
Os01g0252200	3
Os01g0252300	-34
Os01g0252400	-8
Os01g0252600	-4
Os01g0252900	13
Os01g0253000	19
Os01g0253050	3
Os01g0253100	10
Os01g0253200	7
Os01g0253300	2
Os01g0253400	-21
Os01g0253500	6
Os01g0253600	8
Os01g0253800	6
Os01g0253900	17
Os01g0254000	1
Os01g0254100	14
Os01g0254200	1
Os01g0254300	-2
Os01g0254350	2
Os01g0254400	-2
Os01g0254800	0
Os01g0254850	-28
Os01g0254900	1
Os01g0254950	-5
Os01g0255000	-1
Os01g0255100	8
Os01g0255700	-28
Os01g0256300	-3
Os01g0256400	-1
Os01g0256500	7
Os01g0256600	1
Os01g0256800	3
Os01g0256900	2
Os01g0257100	-7
Os01g0257300	45
Os01g0257400	-2
Os01g0257900	-4
Os01g0258000	10
Os01g0258100	9
Os01g0258600	1
